 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
  62,          0.31613830,          0.25810000,      25000.00000000,         -0.05803830,   9053,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_3._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                      
  63,          0.09039548,          0.34906000,       1408.45070423,          0.25866452,   1239,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  64,          0.34437086,          0.28019000,       1030.92783505,         -0.06418086,   4228,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  65,          0.31800159,          0.28791000,       2222.22222222,         -0.03009159,   1261,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  66,          0.44545590,          0.28398000,       7142.85714286,         -0.16147590,   6701,LFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  67,          0.04110759,          0.05668000,      33333.33333333,          0.01557241,   8198,Part-Time     _Age_51._75._Mar_1._1._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  68,          0.03442541,          0.07712000,      16666.66666667,          0.04269459,   6013,Part-Time     _Age_51._75._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                  
  69,          0.64717241,          0.57358000,       6666.66666667,         -0.07359241,   3625,FLFP     _Age_51._55._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  70,          0.62591508,          0.57042000,       4545.45454545,         -0.05549508,   2732,FLFP     _Age_56._60._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  71,          0.52922756,          0.46888000,       2941.17647059,         -0.06034756,   1916,FLFP     _Age_61._65._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  72,          0.47270115,          0.38686000,       1149.42528736,         -0.08584115,    696,FLFP     _Age_66._70._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  73,          0.52675181,          0.59773000,       4347.82608696,          0.07097819,   2897,FLFP     _Age_51._55._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  74,          0.50498339,          0.52769000,       2631.57894737,          0.02270661,   1505,FLFP     _Age_56._60._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  75,          0.43597122,          0.41606000,       1123.59550562,         -0.01991122,    695,FLFP     _Age_61._65._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  76,          0.36974790,          0.31683000,        467.28971963,         -0.05291790,    119,FLFP     _Age_66._70._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  77,          0.46808511,          0.30556000,        169.77928693,         -0.16252511,     47,FLFP     _Age_71._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                     
  78,          0.51241200,          0.50074000,       8333.33333333,         -0.01167200,   5398,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_0._7._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  79,          0.69849691,          0.47842000,       3333.33333333,         -0.22007691,   2262,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  80,          0.70075758,          0.62549000,       3333.33333333,         -0.07526758,   1320,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  81,          0.80487805,          0.67925000,        970.87378641,         -0.12562805,    246,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_16._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  82,          0.41841133,          0.37750000,       3448.27586207,         -0.04091133,   3248,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_0._7._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
  83,          0.47928331,          0.53741000,       2380.95238095,          0.05812669,    893,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_8._11._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                         
  84,          0.74828375,          0.63550000,       2272.72727273,         -0.11278375,    874,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_12._15._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                        
  85,          0.86290323,          0.87500000,       1886.79245283,          0.01209677,    248,FLFP     _Age_51._75._Mar_-999._999._Fem_1._1._Kid_-999._999._Edu_16._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                       
  86,          0.00000000,          0.07853000,       8333.33333333,          0.07853000,   1306,FLFP     _Age_51._75._Mar_-999._999._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_0._0._Coh_-999._999._LFP_1._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                          
